Latitude;Longitude;OBJECTID;PONTO_RECOLHA_FREGUESIA;PONTO_RECOLHA_LOCAL;CONTENTOR_RESÍDUO;CONTENTOR_TIPO;CONTENTOR_CAPACIDADE;CONTENTOR_QT;CONTENTOR_TOTAL_LITROS
-9.15311831;38.71637976;225;Misericórdia;19293: R Imprensa Nacional, 46;Vidro;CV0140;140;1;140
-9.142260747;38.70794373;245;Misericórdia;19310: R Vitor Cordon, 43;Vidro;CV0140;240;1;240
-9.144813491;38.70798468;267;Misericórdia;19319: R São Paulo, 108;Embalagens;CV0120;140;1;140
-9.153608439;38.71446582;163;Misericórdia;19236: R São Bento, 318;Vidro;CV0240;140;1;140
-9.153608439;38.71446582;164;Misericórdia;19236: R São Bento, 318;Organicos;CV0240;140;1;140
-9.144603489;38.71428298;227;Misericórdia;19295: R Teixeira, 1;Vidro;CV0240;140;1;140
-9.14464752;38.71088664;48;Misericórdia;19371: R Salgadeiras, SFC Jt 11;Lixos;CV0120;240;3;720
-9.14464752;38.71088664;47;Misericórdia;19371: R Salgadeiras, SFC Jt 11;Lixos;CV0240;240;3;720
-9.152425179;38.709684;121;Misericórdia;19390: R Poço dos Negros, crzt R São Bento;Lixos;CV1100;240;3;720
-9.152425179;38.709684;122;Misericórdia;19390: R Poço dos Negros, crzt R São Bento;Lixos;CV0120;240;3;720
-9.153055613;38.71197549;205;Misericórdia;19278: R Correia Garção, 3;Vidro;CV0090;240;1;240
-9.153055613;38.71197549;206;Misericórdia;19278: R Correia Garção, 3;Organicos;CV0240;240;1;240
-9.143011665;38.70738775;85;Misericórdia;19415: R São Paulo, 14 a 16;Embalagens;CV0240;140;1;140
-9.143856881;38.70944323;290;Misericórdia;19337: Tv Guilherme Cossoul, 11;Vidro;CV0240;140;1;140
-9.143856881;38.70944323;291;Misericórdia;19337: Tv Guilherme Cossoul, 11;Papel e Cartão;CV0240;140;1;140
-9.143856881;38.70944323;292;Misericórdia;19337: Tv Guilherme Cossoul, 11;Embalagens;CV0240;140;1;140
-9.15264388;38.71051081;692;Misericórdia;21843: R São Bento, 15;Organicos;CV0140;90;1;90
-9.15264388;38.71051081;693;Misericórdia;21843: R São Bento, 15;Vidro;CV0140;90;1;90
-9.151300393;38.71224303;694;Misericórdia;21844: R Cruz dos Poiais de São Bento, Crt R das Parreiras;Papel e Cartão;CV0140;240;1;240
-9.151300393;38.71224303;695;Misericórdia;21844: R Cruz dos Poiais de São Bento, Crt R das Parreiras;Papel e Cartão;CV0120;240;1;240
-9.151300393;38.71224303;696;Misericórdia;21844: R Cruz dos Poiais de São Bento, Crt R das Parreiras;Embalagens;CV0090;240;1;240
-9.151300393;38.71224303;697;Misericórdia;21844: R Cruz dos Poiais de São Bento, Crt R das Parreiras;Lixos;CV0240;240;1;240
-9.151300393;38.71224303;698;Misericórdia;21844: R Cruz dos Poiais de São Bento, Crt R das Parreiras;Vidro;CV0240;240;1;240
-9.151300393;38.71224303;699;Misericórdia;21844: R Cruz dos Poiais de São Bento, Crt R das Parreiras;Embalagens;CV0120;240;1;240
-9.151300393;38.71224303;700;Misericórdia;21844: R Cruz dos Poiais de São Bento, Crt R das Parreiras;Lixos;CV0140;240;1;240
-9.147528628;38.70569115;938;Misericórdia;21957: R da Cintura do Porto de Lisboa, 3154 Armazém B;Embalagens;CV0090;240;2;480
-9.147528628;38.70569115;939;Misericórdia;21957: R da Cintura do Porto de Lisboa, 3154 Armazém B;Lixos;CV0240;240;1;240
-9.147528628;38.70569115;940;Misericórdia;21957: R da Cintura do Porto de Lisboa, 3154 Armazém B;Vidro;CV0340;240;1;240
-9.15077561;38.70848234;944;Misericórdia;21959: R Instituto Industrial, 7-7D;Lixos;CV0090;240;1;240
-9.15077561;38.70848234;945;Misericórdia;21959: R Instituto Industrial, 7-7D;Embalagens;CV0240;240;2;480
-9.15077561;38.70848234;946;Misericórdia;21959: R Instituto Industrial, 7-7D;Vidro;CV0240;140;4;560
-9.15077561;38.70848234;947;Misericórdia;21959: R Instituto Industrial, 7-7D;Organicos;CV0120;240;3;720
-9.146054168;38.70791988;843;Misericórdia;21911: Tv Carvalho, frt nº 29;Papel e Cartão;CV0140;3000;2;6000
-9.146054168;38.70791988;844;Misericórdia;21911: Tv Carvalho, frt nº 29;Embalagens;CV0240;3000;2;6000
-9.146054168;38.70791988;845;Misericórdia;21911: Tv Carvalho, frt nº 29;Vidro;CV0120;3000;1;3000
-9.146054168;38.70791988;846;Misericórdia;21911: Tv Carvalho, frt nº 29;Lixos;CV0140;3000;2;6000
-9.149067977;38.70885752;921;Misericórdia;21952: R da Boavista, 88-94;Papel e Cartão;CV0240;90;1;90
-9.149067977;38.70885752;922;Misericórdia;21952: R da Boavista, 88-94;Organicos;CV0140;90;1;90
-9.149067977;38.70885752;923;Misericórdia;21952: R da Boavista, 88-94;Vidro;CV0120;140;1;140
-9.149067977;38.70885752;924;Misericórdia;21952: R da Boavista, 88-94;Embalagens;CV0240;90;1;90
-9.15158074;38.70770064;965;Misericórdia;21969: R Dom Luís I, 34;Papel e Cartão;CV0140;240;1;240
-9.15158074;38.70770064;966;Misericórdia;21969: R Dom Luís I, 34;Embalagens;CV0120;90;1;90
